"job_id","job_title","salary_year_avg","job_posted_date","company_name","skills"
710847,"Operations / Middle Office Project Manager","120000.0","2023-09-15 16:00:06","Phyton Talent Advisors","tableau"
710847,"Operations / Middle Office Project Manager","120000.0","2023-09-15 16:00:06","Phyton Talent Advisors","cognos"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","sql"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","python"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","r"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","sas"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","matlab"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","tensorflow"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","pytorch"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","scikit-learn"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","matplotlib"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","seaborn"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","tableau"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","sas"
837445,"Global Sales Analytics, Business Analyst","120000.0","2023-08-22 06:01:14","Facebook App","spss"
460647,"Business Intelligence Analyst","120000.0","2023-10-14 15:01:30","Robert Half","aws"
30375,"Analyst III, Growth (Chicago, IL)","118000.0","2023-10-14 23:01:24","Grubhub","sql"
30375,"Analyst III, Growth (Chicago, IL)","118000.0","2023-10-14 23:01:24","Grubhub","python"
30375,"Analyst III, Growth (Chicago, IL)","118000.0","2023-10-14 23:01:24","Grubhub","tableau"
844874,"Principal Program Analyst (FT)","117784.0","2023-05-03 16:01:50","State Bar of California","word"
844874,"Principal Program Analyst (FT)","117784.0","2023-05-03 16:01:50","State Bar of California","spreadsheet"
